edad,pais_origen,ciudad_ecuador,tipo_viaje,fecha_viaje,transporte,hospedaje,personas_viaje,dias_estancia,pasajes,costot_comida,gastos_extras,satisfaccion
20,Lebanon,Zamora,Visita Familia,2026-03-26,Auto,Hostal,6,11,514,1848,95,9
45,Philippines,Zamora,Visita Familia,2025-05-26,Bus,Casa huespedes,3,12,593,1080,257,4
55,Chad,Quito,Estudio,2025-10-15,Auto,Hostal,3,9,170,432,113,10
52,Guadeloupe,Cuenca,Estudio,2025-12-10,Ciclista,Casa huespedes,1,9,630,99,41,10
51,Latvia,Pastaza,Aventura,2025-06-22,Motociclista,Hotel,1,10,226,300,176,5
68,Indonesia,Cuenca,Estudio,2025-11-13,Motociclista,Hotel,1,11,950,396,230,4
22,French Southern Territories,Quito,Aventura,2025-10-05,Avión,Resort,1,15,138,390,266,1
25,Monaco,Guayaquil,Negocios,2026-03-28,Avión,Hostal,3,2,773,228,152,1
46,Ireland,Loja,Negocios,2025-10-19,Motociclista,Casa huespedes,2,12,321,432,167,6
43,Korea,Baños,Aventura,2025-05-27,Avión,Casa huespedes,2,5,822,380,145,4
38,Mongolia,Manta,Visita Familia,2025-10-06,Motociclista,Hotel,4,15,733,1800,80,4
18,Libyan Arab Jamahiriya,Baños,Vacaciones,2025-07-19,Motociclista,Hotel,1,3,728,30,170,3
43,Chile,Riobamba,Estudio,2025-11-05,Auto,Resort,2,9,1161,720,248,6
18,Honduras,Baños,Estudio,2025-08-30,Ciclista,Hostal,3,2,1185,240,66,9
33,Afghanistan,Loja,Vacaciones,2025-11-24,Auto,Hostal,1,12,775,132,289,6
58,French Guiana,Baños,Vacaciones,2026-02-25,Ciclista,Resort,2,8,1064,544,76,3
67,Senegal,Pastaza,Vacaciones,2026-02-18,Bus,Casa huespedes,4,4,115,640,74,9
22,Georgia,Baños,Negocios,2026-02-22,Auto,Airbnb,2,10,715,580,43,4
58,Tanzania,Zamora,Estudio,2025-12-11,Auto,Hotel,5,2,1079,330,62,10
65,Korea,Cuenca,Aventura,2025-05-27,Avión,Casa huespedes,2,4,325,128,107,7
36,Lao People's Democratic Republic,Cuenca,Aventura,2025-09-20,Auto,Hotel,2,2,1118,112,231,1
51,Bahamas,Riobamba,Vacaciones,2025-06-06,Motociclista,Airbnb,1,13,1005,156,164,1
25,Djibouti,Loja,Estudio,2025-12-26,Auto,Hostal,3,9,564,378,265,6
52,Equatorial Guinea,Quito,Vacaciones,2025-07-13,Motociclista,Casa huespedes,5,1,1199,200,138,3
29,Burkina Faso,Guayaquil,Estudio,2025-10-19,Bus,Hotel,2,4,1100,192,272,1
35,Central African Republic,Riobamba,Estudio,2025-10-11,Ciclista,Airbnb,3,4,491,180,50,2
27,Greenland,Baños,Vacaciones,2025-09-20,Avión,Casa huespedes,5,11,849,880,58,6
59,Serbia,Pastaza,Aventura,2025-06-22,Auto,Hotel,5,8,1039,680,106,6
59,Korea,Guayaquil,Vacaciones,2025-08-26,Auto,Hotel,6,4,417,240,145,7
64,Bhutan,Pastaza,Vacaciones,2025-12-08,Avión,Airbnb,2,6,517,276,179,1
62,Saint Lucia,Otavalo,Aventura,2026-01-16,Bus,Hotel,4,14,488,2016,174,3
29,Afghanistan,Riobamba,Vacaciones,2026-02-17,Ciclista,Resort,3,11,826,330,264,1
26,Guinea,Guayaquil,Aventura,2026-03-06,Avión,Resort,3,14,1030,966,281,8
21,Reunion,Loja,Aventura,2025-09-30,Bus,Airbnb,4,12,952,576,148,3
49,Iraq,Loja,Visita Familia,2026-01-11,Auto,Hotel,5,7,735,945,274,5
46,Mali,Manta,Vacaciones,2025-11-22,Motociclista,Hostal,1,13,273,390,70,5
62,Greece,Riobamba,Aventura,2025-07-01,Avión,Hostal,5,4,991,380,96,1
42,Taiwan,Pastaza,Aventura,2026-05-18,Avión,Airbnb,2,13,739,728,180,8
31,Moldova,Otavalo,Negocios,2025-08-10,Bus,Hotel,5,14,548,980,28,4
38,Zambia,Loja,Visita Familia,2025-12-30,Motociclista,Hotel,2,3,650,192,111,4
29,Svalbard & Jan Mayen Islands,Pastaza,Aventura,2026-04-19,Bus,Hotel,5,2,427,220,171,1
62,South Africa,Riobamba,Vacaciones,2025-08-24,Ciclista,Airbnb,6,2,1189,348,39,4
41,Cote d'Ivoire,Guayaquil,Visita Familia,2026-01-02,Avión,Casa huespedes,5,9,1026,1260,39,4
42,Guernsey,Otavalo,Visita Familia,2026-03-13,Auto,Resort,1,2,1172,76,82,5
27,Haiti,Pastaza,Visita Familia,2025-07-31,Auto,Casa huespedes,3,13,628,663,158,8
46,Russian Federation,Baños,Negocios,2025-12-24,Auto,Casa huespedes,2,6,642,396,244,6
29,Belgium,Cuenca,Vacaciones,2025-09-26,Bus,Airbnb,4,4,280,480,183,3
61,Montserrat,Loja,Negocios,2026-05-16,Avión,Hotel,5,2,231,100,238,3
24,United States of America,Baños,Estudio,2025-10-05,Motociclista,Airbnb,1,8,975,240,151,6
27,Vietnam,Cuenca,Aventura,2025-08-18,Ciclista,Airbnb,2,14,639,868,76,9
48,Western Sahara,Cuenca,Estudio,2025-06-24,Bus,Casa huespedes,2,2,950,140,121,8
28,Algeria,Manta,Estudio,2025-06-23,Motociclista,Resort,1,4,1031,140,86,10
68,Grenada,Quito,Negocios,2026-01-09,Avión,Resort,4,6,268,480,35,5
37,Iraq,Cuenca,Vacaciones,2025-09-16,Motociclista,Casa huespedes,5,1,949,85,183,3
25,Comoros,Riobamba,Vacaciones,2025-10-16,Ciclista,Hotel,3,6,1152,216,140,3
52,Wallis and Futuna,Guayaquil,Visita Familia,2025-09-18,Avión,Hotel,4,10,608,400,91,4
67,Taiwan,Quito,Vacaciones,2025-08-13,Avión,Hotel,1,10,1092,290,84,6
41,Cyprus,Riobamba,Aventura,2026-02-10,Ciclista,Casa huespedes,1,5,704,115,145,3
55,Algeria,Loja,Vacaciones,2025-12-29,Auto,Hostal,1,12,153,216,54,5
45,Solomon Islands,Zamora,Aventura,2025-09-03,Bus,Resort,3,14,211,756,231,9
22,Guatemala,Zamora,Vacaciones,2026-01-10,Auto,Casa huespedes,5,14,777,2800,194,10
48,Heard Island and McDonald Islands,Cuenca,Visita Familia,2025-08-19,Ciclista,Airbnb,1,3,726,102,179,10
51,Comoros,Loja,Vacaciones,2025-10-26,Auto,Hotel,5,13,681,1625,25,6
19,Cocos (Keeling) Islands,Baños,Aventura,2026-01-23,Avión,Hostal,5,9,860,765,107,8
29,Maldives,Loja,Visita Familia,2026-03-29,Avión,Hostal,1,12,1008,456,206,3
33,Afghanistan,Baños,Negocios,2025-12-08,Auto,Hostal,1,9,939,324,265,1
43,Netherlands Antilles,Otavalo,Negocios,2026-05-19,Auto,Hotel,6,6,375,1440,168,9
69,Qatar,Pastaza,Estudio,2025-09-03,Bus,Hostal,1,10,580,120,38,6
68,Mongolia,Guayaquil,Aventura,2025-06-19,Avión,Resort,5,5,931,600,251,6
66,North Macedonia,Cuenca,Negocios,2025-12-12,Motociclista,Airbnb,2,9,626,324,179,3
58,Jersey,Manta,Visita Familia,2026-04-23,Motociclista,Resort,4,2,453,120,244,5
42,Grenada,Manta,Estudio,2025-09-22,Bus,Hostal,5,6,116,810,102,3
47,El Salvador,Baños,Estudio,2026-03-24,Ciclista,Hotel,1,2,224,66,33,7
28,South Georgia and the South Sandwich Islands,Loja,Vacaciones,2026-01-06,Avión,Hotel,4,11,951,1760,35,2
35,South Africa,Manta,Visita Familia,2025-10-10,Bus,Hotel,5,8,325,1360,186,2
57,Guam,Manta,Estudio,2026-03-16,Avión,Airbnb,2,3,523,156,109,8
25,Lebanon,Baños,Negocios,2025-12-31,Auto,Casa huespedes,4,1,526,120,75,9
56,Uganda,Quito,Visita Familia,2025-08-08,Auto,Hostal,4,3,245,468,140,8
68,Mayotte,Pastaza,Estudio,2025-11-26,Ciclista,Resort,2,6,376,432,281,3
18,Greece,Cuenca,Visita Familia,2025-12-14,Motociclista,Hostal,1,13,595,325,170,2
63,Portugal,Riobamba,Vacaciones,2026-02-10,Ciclista,Hostal,2,1,1163,38,269,4
46,Croatia,Baños,Aventura,2025-11-30,Auto,Hostal,4,6,621,456,101,4
37,Dominican Republic,Guayaquil,Vacaciones,2026-04-03,Ciclista,Resort,4,6,852,576,137,6
63,Sri Lanka,Baños,Negocios,2025-10-21,Bus,Hotel,5,7,1179,1050,118,6
56,Congo,Baños,Vacaciones,2025-06-27,Auto,Casa huespedes,4,1,1192,112,86,2
63,Togo,Riobamba,Vacaciones,2026-01-28,Motociclista,Hotel,6,5,946,930,192,5
43,Somalia,Pastaza,Visita Familia,2026-02-19,Ciclista,Casa huespedes,6,4,1060,504,292,4
28,Mongolia,Baños,Estudio,2026-05-13,Motociclista,Hotel,1,14,141,434,268,10
59,Saint Martin,Otavalo,Vacaciones,2025-12-04,Bus,Airbnb,6,2,562,276,86,1
36,Gambia,Guayaquil,Estudio,2026-04-02,Avión,Casa huespedes,6,3,264,360,211,9
48,Libyan Arab Jamahiriya,Baños,Negocios,2025-05-30,Motociclista,Airbnb,6,9,289,2160,73,10
42,Cape Verde,Otavalo,Vacaciones,2025-12-26,Auto,Airbnb,3,1,194,39,239,9
22,Zimbabwe,Baños,Aventura,2025-06-04,Ciclista,Hotel,2,2,853,80,120,6
66,Greece,Quito,Vacaciones,2026-03-20,Bus,Resort,2,7,786,364,251,3
55,Italy,Loja,Visita Familia,2026-03-18,Motociclista,Hostal,6,13,670,1794,234,1
22,Germany,Guayaquil,Negocios,2025-05-25,Auto,Resort,5,7,658,1085,261,9
41,Netherlands,Loja,Visita Familia,2025-12-15,Motociclista,Airbnb,4,14,929,2240,191,5
48,Nicaragua,Otavalo,Visita Familia,2025-06-30,Auto,Hostal,1,9,1180,252,167,10
64,Congo,Baños,Vacaciones,2025-06-07,Bus,Resort,4,3,897,348,290,6
58,Marshall Islands,Cuenca,Estudio,2025-06-03,Ciclista,Resort,4,9,598,1116,114,4
19,Brazil,Manta,Aventura,2026-01-12,Auto,Hotel,6,13,164,2262,285,4
60,Syrian Arab Republic,Otavalo,Visita Familia,2025-08-08,Bus,Hotel,1,8,918,112,29,3
21,Bahrain,Loja,Visita Familia,2026-03-10,Bus,Casa huespedes,3,6,822,324,212,8
57,Burkina Faso,Guayaquil,Estudio,2026-03-11,Avión,Casa huespedes,6,1,686,126,163,4
56,Kiribati,Pastaza,Visita Familia,2025-07-04,Bus,Casa huespedes,1,7,1109,196,162,7
60,Svalbard & Jan Mayen Islands,Guayaquil,Visita Familia,2025-10-15,Auto,Hotel,3,10,133,300,22,9
57,Tokelau,Guayaquil,Estudio,2026-01-07,Motociclista,Hostal,4,13,481,936,224,5
64,United States Virgin Islands,Manta,Vacaciones,2025-11-30,Avión,Hostal,6,11,1082,990,256,3
25,Suriname,Manta,Aventura,2025-12-24,Motociclista,Resort,3,1,579,66,208,9
55,Bosnia and Herzegovina,Pastaza,Aventura,2026-03-01,Avión,Airbnb,3,4,977,192,281,8
61,Namibia,Baños,Visita Familia,2026-02-14,Bus,Hostal,5,10,238,1100,225,7
35,Guinea,Otavalo,Aventura,2026-03-23,Auto,Airbnb,2,8,1031,480,22,5
25,North Macedonia,Manta,Aventura,2025-08-07,Bus,Casa huespedes,2,5,198,280,260,9
50,Norfolk Island,Manta,Negocios,2026-02-13,Avión,Casa huespedes,2,15,154,510,251,10
27,Tanzania,Zamora,Negocios,2025-07-17,Auto,Resort,5,4,563,440,103,9
58,Mauritius,Zamora,Estudio,2025-06-11,Bus,Hostal,3,2,568,126,109,1
24,French Polynesia,Guayaquil,Visita Familia,2025-08-20,Auto,Hostal,5,6,604,420,153,4
34,Afghanistan,Loja,Vacaciones,2026-02-01,Bus,Hotel,4,9,1055,864,263,2
51,Namibia,Guayaquil,Vacaciones,2026-02-08,Avión,Hotel,1,6,962,174,266,6
44,Albania,Otavalo,Aventura,2025-12-18,Auto,Airbnb,6,11,868,2376,189,10
45,Guinea-Bissau,Baños,Aventura,2025-09-20,Bus,Hostal,5,13,1160,650,176,7
60,Iran,Zamora,Estudio,2026-01-02,Ciclista,Hostal,5,5,390,625,242,7
70,Mauritania,Manta,Visita Familia,2025-10-24,Auto,Casa huespedes,3,15,675,945,277,8
36,Turks and Caicos Islands,Riobamba,Vacaciones,2026-01-20,Auto,Resort,4,10,844,480,124,7
30,Switzerland,Riobamba,Estudio,2025-12-23,Auto,Hotel,1,6,474,78,34,9
22,Zambia,Otavalo,Vacaciones,2025-06-05,Auto,Airbnb,6,14,705,840,277,1
46,Heard Island and McDonald Islands,Quito,Negocios,2025-09-19,Motociclista,Hostal,4,1,771,132,47,4
48,Netherlands Antilles,Pastaza,Visita Familia,2025-08-27,Auto,Resort,1,9,727,108,39,5
57,Angola,Zamora,Negocios,2026-04-15,Ciclista,Resort,3,8,1138,912,211,5
27,Moldova,Cuenca,Vacaciones,2025-11-19,Bus,Resort,5,4,998,240,45,5
51,Svalbard & Jan Mayen Islands,Otavalo,Estudio,2025-06-08,Motociclista,Airbnb,6,10,535,1020,155,4
40,Russian Federation,Quito,Negocios,2025-11-13,Avión,Casa huespedes,1,6,759,114,27,2
51,Algeria,Zamora,Aventura,2025-06-21,Avión,Airbnb,5,11,112,1540,244,4
25,Vietnam,Guayaquil,Visita Familia,2026-02-12,Motociclista,Hostal,1,9,532,135,44,9
61,Burundi,Otavalo,Visita Familia,2026-04-27,Avión,Resort,6,4,182,552,26,2
34,United States Virgin Islands,Otavalo,Visita Familia,2025-07-10,Ciclista,Hotel,6,11,742,2508,48,4
53,Sudan,Cuenca,Visita Familia,2026-01-09,Avión,Airbnb,1,6,1181,186,101,10
42,Germany,Cuenca,Negocios,2026-02-28,Avión,Hotel,5,4,1133,460,52,3
70,Mayotte,Otavalo,Vacaciones,2025-06-22,Avión,Airbnb,1,8,917,232,264,5
44,Cameroon,Cuenca,Estudio,2025-10-22,Ciclista,Casa huespedes,3,10,668,780,42,1
33,Luxembourg,Riobamba,Aventura,2025-12-18,Auto,Resort,2,6,1094,216,88,5
46,Brunei Darussalam,Loja,Aventura,2025-05-26,Motociclista,Hotel,5,15,778,2475,275,6
23,Armenia,Cuenca,Visita Familia,2026-04-24,Bus,Hotel,6,9,1130,648,151,8
33,United Arab Emirates,Zamora,Estudio,2025-10-17,Ciclista,Resort,2,2,997,144,70,8
49,Tanzania,Loja,Aventura,2025-06-20,Ciclista,Hotel,6,10,907,1860,125,1
63,Albania,Loja,Aventura,2025-06-07,Avión,Casa huespedes,5,8,784,440,206,8
55,Montenegro,Otavalo,Aventura,2025-09-06,Auto,Hotel,1,8,702,280,201,8
20,Niue,Pastaza,Estudio,2025-07-02,Bus,Casa huespedes,2,12,1166,696,128,4
43,Suriname,Zamora,Estudio,2025-09-04,Auto,Hostal,3,12,505,792,285,10
41,Canada,Pastaza,Visita Familia,2025-08-04,Bus,Airbnb,2,15,884,1020,240,6
58,Thailand,Riobamba,Estudio,2026-05-04,Motociclista,Hostal,4,1,276,160,66,7
25,Syrian Arab Republic,Cuenca,Vacaciones,2026-04-12,Auto,Airbnb,4,2,628,296,98,4
58,Hungary,Riobamba,Aventura,2025-06-23,Avión,Casa huespedes,6,8,701,1920,176,3
31,Bhutan,Cuenca,Visita Familia,2025-09-20,Motociclista,Hotel,2,11,125,242,59,2
38,Sao Tome and Principe,Pastaza,Estudio,2025-07-27,Auto,Hostal,5,10,1032,1950,143,4
54,Mauritania,Quito,Negocios,2026-01-27,Ciclista,Casa huespedes,2,11,616,726,185,4
36,Marshall Islands,Cuenca,Visita Familia,2026-02-05,Auto,Hotel,5,12,701,2040,140,4
65,Anguilla,Pastaza,Vacaciones,2025-06-05,Ciclista,Casa huespedes,2,9,552,630,198,4
56,Anguilla,Baños,Negocios,2025-08-21,Auto,Hostal,6,15,970,1170,204,8
37,Cape Verde,Quito,Vacaciones,2026-01-19,Bus,Hotel,6,9,529,1620,79,4
64,Hong Kong,Riobamba,Visita Familia,2026-03-08,Ciclista,Airbnb,2,3,811,72,209,5
20,Trinidad and Tobago,Baños,Vacaciones,2025-10-01,Bus,Hostal,1,2,335,58,63,4
21,Sudan,Baños,Estudio,2026-01-06,Avión,Casa huespedes,4,14,262,2128,66,7
34,Cook Islands,Loja,Vacaciones,2025-12-28,Auto,Resort,5,7,210,1015,278,6
31,Svalbard & Jan Mayen Islands,Cuenca,Vacaciones,2025-11-09,Motociclista,Hotel,4,4,159,352,181,10
46,Madagascar,Riobamba,Estudio,2026-03-04,Auto,Hotel,6,5,704,720,300,4
57,Isle of Man,Cuenca,Estudio,2025-08-04,Motociclista,Resort,1,2,676,60,163,2
21,United Arab Emirates,Pastaza,Vacaciones,2025-11-19,Avión,Airbnb,4,4,672,576,46,9
29,Bolivia,Quito,Vacaciones,2025-07-05,Ciclista,Hostal,3,15,532,1575,232,9
29,Mongolia,Riobamba,Estudio,2025-09-23,Ciclista,Hostal,5,15,390,1125,115,7
52,Peru,Riobamba,Aventura,2025-08-14,Ciclista,Casa huespedes,1,9,452,261,279,2
43,Norway,Baños,Visita Familia,2026-01-16,Ciclista,Casa huespedes,1,12,946,156,235,2
40,United States of America,Manta,Vacaciones,2026-01-31,Ciclista,Resort,5,10,420,700,257,1
36,Luxembourg,Riobamba,Estudio,2026-04-08,Bus,Hotel,4,11,540,1188,116,10
56,Haiti,Baños,Negocios,2025-08-25,Motociclista,Hostal,5,7,521,455,25,4
45,Northern Mariana Islands,Manta,Visita Familia,2025-11-20,Auto,Hostal,2,8,117,384,129,3
67,Saint Vincent and the Grenadines,Cuenca,Vacaciones,2025-11-14,Bus,Airbnb,1,7,486,77,54,2
39,North Macedonia,Riobamba,Negocios,2025-09-03,Bus,Resort,5,14,526,1260,117,1
42,Trinidad and Tobago,Pastaza,Estudio,2025-10-05,Motociclista,Airbnb,3,2,921,222,75,1
51,American Samoa,Zamora,Negocios,2025-11-11,Auto,Hostal,5,15,369,975,269,2
32,Faroe Islands,Zamora,Estudio,2026-02-01,Motociclista,Casa huespedes,4,1,453,76,106,2
44,Monaco,Zamora,Aventura,2025-08-16,Avión,Hostal,1,6,1191,90,61,3
42,Vietnam,Baños,Negocios,2026-04-02,Motociclista,Resort,5,1,449,150,233,10
59,Eritrea,Cuenca,Aventura,2025-07-06,Auto,Resort,5,3,336,345,74,5
27,Albania,Quito,Aventura,2026-05-14,Motociclista,Hotel,5,15,470,2250,152,7
56,Sudan,Cuenca,Estudio,2025-12-06,Auto,Resort,6,3,559,468,73,2
36,Bulgaria,Baños,Estudio,2026-01-21,Bus,Hostal,4,13,798,676,212,7
40,Greenland,Riobamba,Visita Familia,2025-12-01,Avión,Hostal,5,10,1005,1400,191,5
60,Qatar,Quito,Visita Familia,2026-01-05,Bus,Casa huespedes,3,11,606,693,95,8
52,Kenya,Guayaquil,Estudio,2025-10-29,Bus,Airbnb,5,13,386,1430,65,8
19,Mauritius,Baños,Negocios,2025-06-29,Bus,Resort,3,8,601,864,104,6
27,Angola,Manta,Estudio,2025-07-29,Bus,Hostal,4,13,1098,1352,97,10
47,Dominican Republic,Cuenca,Vacaciones,2026-03-04,Auto,Hotel,2,13,447,416,285,8
22,Mozambique,Riobamba,Estudio,2025-10-12,Auto,Casa huespedes,1,6,703,96,102,7
31,Russian Federation,Guayaquil,Vacaciones,2026-01-22,Motociclista,Hostal,1,6,603,180,70,3
42,Turkey,Baños,Estudio,2025-07-15,Avión,Hotel,6,1,107,126,262,4
44,Kiribati,Riobamba,Aventura,2025-12-16,Motociclista,Hostal,6,1,732,144,171,2
40,Thailand,Quito,Vacaciones,2026-03-01,Auto,Hostal,5,9,759,1755,232,3
43,Ukraine,Pastaza,Estudio,2025-11-30,Auto,Casa huespedes,4,6,121,792,223,8
24,Niue,Manta,Vacaciones,2025-10-07,Ciclista,Hotel,1,13,325,169,99,1
38,Guam,Guayaquil,Aventura,2026-01-18,Ciclista,Resort,1,11,597,110,160,7
54,Sao Tome and Principe,Zamora,Aventura,2025-08-22,Bus,Resort,1,13,376,247,181,7
40,French Southern Territories,Loja,Vacaciones,2025-05-29,Auto,Casa huespedes,2,13,1169,884,58,8
62,Slovakia (Slovak Republic),Pastaza,Visita Familia,2026-01-14,Motociclista,Hotel,5,3,389,435,268,5
64,Cameroon,Cuenca,Vacaciones,2025-09-14,Motociclista,Resort,5,8,367,1320,155,3
31,Dominican Republic,Guayaquil,Visita Familia,2026-03-22,Avión,Casa huespedes,2,6,634,348,180,5
20,Western Sahara,Quito,Visita Familia,2025-05-27,Avión,Casa huespedes,6,8,502,1344,176,10
48,Iran,Zamora,Aventura,2025-12-18,Avión,Resort,6,3,824,540,173,6
41,Botswana,Manta,Vacaciones,2026-02-08,Bus,Hostal,2,14,526,784,78,4
35,Solomon Islands,Guayaquil,Negocios,2026-04-27,Bus,Resort,1,7,362,154,211,5
39,Sri Lanka,Loja,Visita Familia,2025-09-06,Ciclista,Airbnb,6,6,753,1440,47,10
49,Andorra,Quito,Negocios,2025-08-27,Ciclista,Casa huespedes,5,15,1046,2925,239,9
68,Palau,Baños,Estudio,2025-06-23,Avión,Hostal,4,10,678,1440,36,5
39,Antarctica (the territory South of 60 deg S),Quito,Estudio,2026-04-30,Ciclista,Casa huespedes,1,3,160,99,212,5
22,Kyrgyz Republic,Zamora,Estudio,2025-11-22,Avión,Airbnb,1,8,167,160,265,1
58,Nigeria,Quito,Visita Familia,2026-01-22,Bus,Hotel,4,7,292,1120,44,4
62,Syrian Arab Republic,Riobamba,Aventura,2026-05-17,Auto,Hostal,4,9,664,648,50,7
67,Mongolia,Loja,Negocios,2025-08-21,Bus,Resort,3,7,695,483,40,2
20,Switzerland,Manta,Visita Familia,2025-07-02,Bus,Hotel,2,13,208,338,182,6
64,Rwanda,Cuenca,Negocios,2025-09-23,Bus,Casa huespedes,2,5,1039,340,219,1
32,Estonia,Baños,Aventura,2025-11-29,Auto,Hotel,1,12,925,384,124,6
34,Ethiopia,Manta,Visita Familia,2025-10-06,Avión,Hostal,1,3,654,33,49,4
19,Swaziland,Cuenca,Visita Familia,2026-02-03,Avión,Hotel,1,15,773,570,64,1
32,Tajikistan,Pastaza,Vacaciones,2026-05-19,Bus,Casa huespedes,3,15,194,1530,257,2
29,Norway,Pastaza,Vacaciones,2025-12-01,Avión,Hotel,3,12,947,936,63,2
40,Sweden,Guayaquil,Estudio,2025-08-07,Ciclista,Hotel,5,7,460,700,146,9
23,Saint Lucia,Baños,Estudio,2025-08-24,Avión,Hotel,3,15,229,1125,242,10
48,Kazakhstan,Baños,Visita Familia,2026-05-23,Motociclista,Hotel,6,6,788,1332,282,8
66,Equatorial Guinea,Guayaquil,Aventura,2026-01-31,Avión,Resort,5,8,1009,1400,223,6
56,British Virgin Islands,Quito,Estudio,2026-02-28,Avión,Resort,4,2,790,136,264,4
19,Antigua and Barbuda,Cuenca,Vacaciones,2025-10-02,Ciclista,Resort,3,11,617,858,188,6
61,Hong Kong,Quito,Vacaciones,2025-11-04,Avión,Airbnb,3,4,150,252,220,7
70,Heard Island and McDonald Islands,Zamora,Visita Familia,2025-11-09,Auto,Resort,5,5,872,550,81,1
19,Myanmar,Manta,Visita Familia,2025-12-19,Auto,Casa huespedes,3,9,482,891,269,10
43,Aruba,Baños,Negocios,2026-01-12,Avión,Resort,3,3,1067,126,104,8
53,Haiti,Quito,Aventura,2025-07-03,Motociclista,Airbnb,1,14,1199,224,231,10
37,British Virgin Islands,Loja,Aventura,2025-07-30,Motociclista,Resort,4,8,996,320,176,6
51,Cook Islands,Pastaza,Estudio,2026-04-18,Avión,Airbnb,1,3,186,114,230,3
21,Central African Republic,Guayaquil,Vacaciones,2026-01-09,Bus,Casa huespedes,5,9,1198,1485,278,4
70,Jersey,Baños,Negocios,2025-10-29,Auto,Hotel,3,9,1163,756,46,9
68,Sao Tome and Principe,Quito,Visita Familia,2025-05-30,Ciclista,Resort,4,1,1082,80,196,2
19,Andorra,Pastaza,Estudio,2025-07-02,Avión,Hostal,3,1,499,102,296,10
39,Slovenia,Cuenca,Visita Familia,2025-06-09,Ciclista,Resort,2,9,317,630,166,8
67,Lesotho,Cuenca,Estudio,2025-11-05,Motociclista,Resort,3,9,115,270,36,3
54,Uruguay,Guayaquil,Estudio,2025-11-16,Motociclista,Casa huespedes,4,15,329,2160,42,2
36,Samoa,Loja,Vacaciones,2026-03-16,Avión,Hostal,4,15,145,2400,65,5
53,Somalia,Loja,Visita Familia,2026-03-19,Ciclista,Hostal,5,12,796,2400,184,4
27,Rwanda,Otavalo,Estudio,2025-09-18,Bus,Resort,5,14,319,2100,58,1
65,Lithuania,Riobamba,Vacaciones,2026-02-26,Bus,Hotel,1,15,670,570,211,7
38,Saint Kitts and Nevis,Baños,Estudio,2026-05-02,Auto,Hotel,3,12,972,396,68,6
66,Gabon,Riobamba,Estudio,2026-03-26,Bus,Hostal,5,12,1036,2280,125,10
23,Kuwait,Riobamba,Visita Familia,2026-01-31,Avión,Casa huespedes,3,15,997,1035,228,10
19,Saint Vincent and the Grenadines,Guayaquil,Visita Familia,2025-05-23,Ciclista,Resort,3,8,497,912,154,5
43,Mauritania,Manta,Visita Familia,2025-08-27,Ciclista,Hotel,5,5,361,500,274,9
49,South Georgia and the South Sandwich Islands,Manta,Negocios,2025-11-21,Auto,Casa huespedes,3,6,964,684,34,3
67,Lao People's Democratic Republic,Manta,Estudio,2025-11-18,Avión,Hotel,3,8,749,480,185,4
36,Paraguay,Quito,Estudio,2025-11-13,Motociclista,Airbnb,1,6,913,228,80,5
25,Uganda,Quito,Vacaciones,2025-10-30,Ciclista,Hotel,4,1,187,144,272,8
54,Moldova,Riobamba,Aventura,2026-02-28,Auto,Resort,5,15,601,1125,39,5
21,North Macedonia,Riobamba,Negocios,2025-10-21,Auto,Airbnb,6,3,886,288,108,6
33,Sri Lanka,Baños,Visita Familia,2025-08-21,Avión,Casa huespedes,5,1,124,85,112,5
69,Swaziland,Quito,Negocios,2025-06-28,Motociclista,Airbnb,5,10,1055,1400,296,8
63,Malta,Manta,Estudio,2026-05-05,Auto,Hostal,2,7,234,196,22,5
37,Nauru,Manta,Visita Familia,2026-03-04,Motociclista,Hostal,6,10,818,1560,146,6
61,Russian Federation,Loja,Estudio,2025-08-16,Motociclista,Hotel,4,7,613,868,34,6
65,Mexico,Zamora,Negocios,2026-03-18,Avión,Hotel,6,14,1043,1176,36,10
67,Syrian Arab Republic,Loja,Aventura,2026-01-27,Auto,Airbnb,5,10,210,1250,189,7
26,Norway,Riobamba,Vacaciones,2025-09-16,Ciclista,Resort,1,5,196,80,187,2
43,Hungary,Zamora,Visita Familia,2026-05-15,Motociclista,Airbnb,3,7,169,714,295,8
48,China,Baños,Estudio,2025-09-19,Auto,Hotel,2,3,549,204,118,7
30,New Caledonia,Riobamba,Visita Familia,2025-12-22,Bus,Resort,2,11,408,814,281,3
53,Bolivia,Quito,Vacaciones,2026-05-12,Motociclista,Hostal,3,3,282,117,245,7
69,Dominican Republic,Cuenca,Visita Familia,2025-10-01,Auto,Airbnb,3,7,794,399,280,2
56,Saint Barthelemy,Guayaquil,Estudio,2025-07-16,Bus,Hotel,4,13,628,1092,139,3
26,Libyan Arab Jamahiriya,Zamora,Negocios,2026-05-21,Auto,Hotel,2,8,661,224,286,9
51,Croatia,Zamora,Negocios,2025-10-14,Bus,Airbnb,4,12,895,480,139,8
44,Argentina,Manta,Vacaciones,2026-01-11,Auto,Resort,1,7,611,154,52,10
70,Holy See (Vatican City State),Manta,Vacaciones,2025-06-28,Bus,Hostal,5,2,130,150,192,7
22,Tajikistan,Loja,Estudio,2025-09-25,Auto,Hotel,5,1,973,185,202,10
62,Comoros,Zamora,Negocios,2025-08-14,Auto,Hostal,2,5,511,290,162,5
21,Niue,Riobamba,Negocios,2026-02-02,Ciclista,Resort,6,3,1119,594,154,3
